Country,City,Latitude,Longitude,Hemisphere,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
ro,ciofrangeni,45.083333,24.533333,N,32.25,95,100,3.13
ro,cociuba mare,46.733333,22.0,N,34.93,93,0,2.3
ro,corbeanca,44.6,26.05,N,36.27,80,0,8.05
ro,costesti,44.666667,24.883333,N,34.03,91,100,2.55
ro,darabani,48.183333000000005,26.583333000000003,N,33.28,69,0,8.95
ro,dobresti,43.966667,23.95,N,34.93,93,0,2.3
ro,galanesti,47.916667,25.8,N,32.94,69,0,8.95
ro,greaca,44.109444,26.339444,N,37.33,88,100,3.29
ro,harsesti,44.533333,24.783333,N,34.29,92,100,2.57
ro,hinova,44.540556,22.776944,N,33.91,92,100,2.77
ro,macin,45.25,28.15,N,34.93,86,90,5.75
ro,magura,45.266667,26.583333000000003,N,26.58,90,100,1.01
ro,moacsa,45.866667,25.966667,N,30.33,89,100,2.51
ro,murighiol,45.033333,29.166666999999997,N,34.93,86,90,5.75
ro,oancea,45.916667,28.1,N,35.04,86,100,5.46
ro,onesti,46.25,26.75,N,34.29,80,0,4.61
ro,patulele,44.345278,22.772778,N,30,7,100,5.1
ro,piscu vechi,43.9,23.166667,N,33.93,95,100,8.66
ro,plopu,45.016667,26.15,N,33.64,80,0,8.05
ro,rastolita,46.983333,25.033333,N,28.81,75,100,1.57
ro,ratesti,44.733333,25.133333,N,34.81,91,100,2.35
ro,salatrucu,45.333333,24.516667,N,30.09,93,90,4.59
ro,schitu-golesti,45.2,25.0,N,32.02,95,100,4.56
ro,sugag,45.766667,23.633333,N,30.11,93,90,0.76
ro,suhaia,43.733333,25.25,N,35.01,80,100,1.01
ro,suraia,45.683333000000005,27.4,N,35.47,83,100,7.54
ro,tamadau mare,44.466667,26.55,N,36.68,100,100,4.92
ro,tamasi,46.483333,26.983333000000002,N,32.45,91,100,12.46
ro,tarcea,47.45,22.183332999999998,N,34.56,93,90,2.3
ro,turburea,44.716667,23.516667,N,34,96,100,1.01
ro,ulmu,44.95,27.316667,N,36.32,80,100,6.64
ro,vaslui,46.633333,27.733333000000002,N,35.19,64,0,1.14
ro,vetis,47.8,22.766667,N,32,100,0,5.75
ro,vitomiresti,44.866667,24.4,N,31.01,98,100,3.31
ro,vlasinesti,47.933333000000005,26.883333,N,32.92,64,75,6.91
ro,vulturesti,47.516667,26.45,N,32.18,64,75,6.91
rs,banja koviljaca,44.5125,19.158333,N,32.65,100,75,5.75
rs,cantavir,45.920278,19.763056,N,31.35,94,51,9.89
rs,gnjilane,42.468889000000004,21.463333,N,31.98,93,90,13.8
rs,lapovo,44.183333000000005,21.1,N,33.8,100,90,3.44
rs,lestane,44.730556,20.575833,N,33.33,93,20,11.5
rs,loznicko polje,44.558056,19.215833,N,32.67,100,75,5.75
rs,mionica,44.251944,20.081667000000003,N,32.34,100,75,5.75
rs,tutin,42.990278,20.331389,N,25.99,96,100,4.85
ru,ardatov,54.7623,46.2633,N,33.89,94,97,13.67
ru,barysh,53.655326,47.112289000000004,N,26.96,98,98,12.8
ru,belorechensk,58.772505,52.293566999999996,N,44.33,81,0,8.95
ru,bolgar,54.95,49.066666999999995,N,28.4,100,90,15.66
ru,borovskiy,57.040958999999994,65.720179,N,32,86,90,13.42
ru,breytovo,58.299253,37.861717,N,32.52,97,100,10.71
ru,chadan,51.283333,91.583333,N,-2.76,86,100,1.99
ru,cherkizovo,55.975832999999994,37.7875,N,32,93,90,13.42
ru,chernomorskiy,44.850556,38.493611,N,50.5,69,100,12.21
ru,druzhnaya gorka,59.276111,30.1425,N,33.87,93,90,11.18
ru,edissiya,44.051111,44.540833,N,36.86,84,100,5.23
ru,energetik,51.7445,58.7934,N,26.67,98,99,10.29
ru,gavrilov posad,56.5593,40.121,N,32.45,97,100,10.98
ru,gorodishche,53.2775,45.7017,N,32,93,90,15.66
ru,gunib,42.387581,46.965086,N,42.46,54,100,3.74
ru,ileza,61.053284,43.900208,N,29.97,98,99,6.49
ru,inzhavino,52.318474,42.493688,N,33.03,95,100,17.92
ru,izoplit,56.625578000000004,36.221982000000004,N,34.45,93,100,12.03
ru,katav-ivanovsk,54.75305600000001,58.195556,N,25.72,96,100,5.17
ru,kokoshkino,55.597692,37.169501000000004,N,33.12,100,90,15.66
ru,kommunarka,55.56951899999999,37.489321999999994,N,33.55,100,90,13.42
ru,krasnoye,46.7373,39.5645,N,30.11,86,75,15.66
ru,krylovskaya,46.319444,39.971111,N,41,70,98,9.06
ru,kurganinsk,44.88,40.598611,N,40.64,80,100,6.4
ru,narovchat,53.876537,43.694577,N,32.4,96,100,16.69
ru,nartan,43.510833,43.699444,N,37.2,81,40,6.71
ru,novaya mayna,54.15,49.75,N,28.4,100,90,15.66
ru,olkhovka,49.857943,44.562052,N,25.61,95,54,13.6
ru,perevolotskiy,51.876329,54.193776,N,18.9,97,92,8.86
ru,pervoye maya,50.889972,39.591904,N,32,93,90,6.71
ru,proletarskiy,50.7569,35.5194,N,37.4,87,90,22.37
ru,pryazha,61.692584,33.621586,N,33.8,100,90,4.47
ru,sadovoye,51.531110999999996,40.501944,N,33.31,94,100,13.29
ru,sebrovo,50.0981,43.2976,N,36,90,100,8.01
ru,semkhoz,56.283333,38.066666999999995,N,32,93,90,13.42
ru,sokol,59.88333299999999,150.916667,N,31.32,98,100,8.01
ru,sol-iletsk,51.163103,54.991756,N,20.41,96,100,10.83
ru,sukhobuzimskoye,56.5,93.272778,N,-22,69,100,4.47
ru,ulukulevo,54.4355,56.3221,N,21.11,86,90,13.42
ru,urazovo,50.0836,38.0395,N,38.79,84,100,18.43
ru,valerik,43.179722,45.408056,N,26.6,93,90,2.24
ru,vargashi,55.35555600000001,65.84666700000001,N,25.3,97,50,13.73
ru,vershino-darasunskiy,52.35,115.516667,N,-4.23,89,100,11.14
ru,yashkul,46.1711,45.3435,N,39.06,88,100,8.52
sa,sayhat,26.48522,50.040455,N,64.4,48,0,10.36
se,gavle,60.666667000000004,17.166667,N,17.91,83,31,7.85
se,oxelosund,58.666667000000004,17.1,N,24.8,86,75,9.22
sk,banska stiavnica,48.45,18.9,N,26.87,89,100,4
sn,matam,15.666666699999999,-13.25,N,60.8,44,0,2.3
sv,apastepeque,13.666666699999999,-88.7833333,N,71.6,88,0,2.3
td,bere,9.333333300000001,16.15,N,75.87,19,0,3.24
th,sadao,6.638833,100.423417,N,89.38,62,40,13.8
tr,aksaray,38.37255,34.02537,N,41,65,75,9.22
tr,eregli,37.512691,34.048189,N,42.48,64,100,1.77
tr,ergani,38.265328000000004,39.762118,N,32.88,80,40,2.3
tr,midyat,37.424704,41.339335,N,42.75,49,0,2.3
tr,sarkikaraagac,38.079444,31.366389,N,44.22,80,100,10.49
tt,arouca,10.633333300000002,-61.3333333,N,75.04,82,99,5.01
tw,miaoli,24.5588889,120.8219444,N,69.62,68,20,11.5
tw,tainan,22.9933333,120.2036111,N,74.48,64,20,6.91
tz,kibaha,-6.7666667,38.9166667,S,82.47,74,55,2.59
tz,moshi,-3.35,37.3333333,S,77.04,57,17,3.49
tz,nyakabindi,-2.6333333,33.9833333,S,70.75,76,95,5.86
tz,nyanguge,-2.55,33.2,S,72.68,71,18,8.81
ua,berezyne,46.22968,29.204362,N,35.46,85,100,3.94
ua,chapayevka,49.381787,30.451365999999997,N,40.75,77,50,15.5
ua,chapayevka,47.471138,36.345065999999996,N,40.75,77,50,15.5
ua,ivanivka,46.72082,34.552982,N,41.2,78,100,10.92
ua,kakhovka,46.813705999999996,33.486977,N,40.01,77,100,8.25
ua,kochetok,49.880047,36.737232,N,37.2,87,75,13.42
ua,kostryzhivka,48.654551,25.713164000000003,N,33.98,69,0,8.95
ua,mala vyska,48.64308,31.636574,N,34.68,83,17,18.19
ua,pustomyty,49.715321,23.912951,N,30.11,86,75,15.66
ua,ruzhyn,49.722804,29.204548,N,32,86,90,17.9
ua,rzhyshchiv,49.968864,31.046282,N,34.72,69,75,20.13
ua,sencha,50.2,33.45,N,35.51,83,100,20.42
ua,zmiyiv,49.696638,36.361089,N,37.2,87,75,13.42
ug,mityana,0.4175,32.0227778,N,76.44,60,100,1.95
us,arroyo grande,35.1186111,-120.58972220000001,N,40.8,70,1,4.61
us,delano,35.76888889999999,-119.24611110000001,N,39.2,81,90,3.44
us,laguna woods,33.6102778,-117.72444440000001,N,45.81,57,1,3.44
us,san pablo,37.9622222,-122.34444440000001,N,84.24,76,100,6.78
us,walnut park,33.96805560000001,-118.22416670000001,N,48.33,61,1,11.12
us,orlando,28.538055600000003,-81.3794444,N,65.89,88,1,3.44
us,duluth,34.0027778,-84.1447222,N,8.8,73,90,13.8
us,powder springs,33.859444399999994,-84.68388890000001,N,64.9,88,90,9.22
us,hayden,47.7661111,-116.78555559999998,N,26.4,93,90,3.44
us,idaho falls,43.466666700000005,-112.03333329999998,N,9.57,78,1,9.22
us,valparaiso,41.4730556,-87.06111109999999,N,59,94,90,2.3
us,west des moines,41.5772222,-93.7111111,N,18.5,86,90,20.71
us,shelbyville,38.21194439999999,-85.22361109999999,N,64.38,88,1,11.5
us,edgewood,39.41861110000001,-76.29472220000001,N,30.43,93,90,3.44
us,seekonk,41.8083333,-71.3375,N,25.38,68,1,4.61
us,cadillac,44.2519444,-85.4011111,N,19.4,79,75,10.36
us,madison heights,42.485833299999996,-83.1052778,N,30.42,74,90,10.36
us,hibbing,47.4272222,-92.9375,N,0.37,71,90,6.91
us,shakopee,44.798055600000005,-93.5266667,N,15.12,57,90,8.05
us,grandview,38.8858333,-94.53277779999999,N,31.41,93,90,5.75
us,saint ann,38.7272222,-90.38305559999999,N,35.64,93,90,2.95
us,sappington,38.536944399999996,-90.3797222,N,36.88,100,90,2.84
us,belleville,40.79361110000001,-74.1505556,N,21.34,86,1,3.44
us,morristown,40.7966667,-74.4819444,N,50.67,100,90,8.05
us,new brunswick,40.4861111,-74.45222220000001,N,18.9,95,0,6.35
us,point pleasant,40.0830556,-74.0686111,N,34.9,51,90,3.44
us,willingboro,40.0277778,-74.8694444,N,32.65,60,90,4.23
us,grants,35.1472222,-107.85083329999999,N,19.4,79,1,3.44
us,elmira,42.089722200000004,-76.8080556,N,26.17,59,90,6.91
us,durham,35.993888899999995,-78.8988889,N,41.76,100,90,6.91
us,north ridgeville,41.389444399999995,-82.0191667,N,33.76,69,90,8.05
us,carolina,18.382777800000003,-65.95777779999999,N,71.01,83,40,6.78
us,east greenwich,41.660277799999996,-71.45638890000001,N,27.79,50,1,4.61
us,berea,34.8852778,-82.45611109999999,N,33.49,64,90,8.05
us,north myrtle beach,33.8158333,-78.6802778,N,59.27,100,1,12.66
us,wade hampton,34.903611100000006,-82.33333329999999,N,49.03,93,90,10.36
us,harlingen,26.1902778,-97.6958333,N,71.19,100,90,3.44
us,weslaco,26.1591667,-97.9905556,N,71.83,88,90,5.75
us,highland springs,37.5458333,-77.3280556,N,37.11,93,90,8.05
us,lynchburg,37.413611100000004,-79.1425,N,32.95,93,90,6.91
us,timberlake,37.320555600000006,-79.2577778,N,33.1,93,90,6.91
us,burien,47.470555600000004,-122.34555559999998,N,35.94,87,75,8.05
us,kirkland,47.6816667,-122.2075,N,35.47,87,75,5.75
us,washougal,45.5827778,-122.3522222,N,35.69,87,90,4.29
us,burlington,42.67805560000001,-88.2761111,N,32.56,59,90,3.44
us,neenah,44.1858333,-88.4625,N,17.76,67,90,17.27
us,sheboygan,43.7508333,-87.7144444,N,26.89,69,90,18.41
uz,muborak,39.2552778,65.1527778,N,43.12,59,0,6.44
ve,lagunillas,10.1408333,-71.26138890000001,N,77.07,76,100,7.11
vn,chau doc,10.7,105.11666699999999,N,87.3,55,100,4.27
vn,vinh long,10.25,105.96666699999999,N,87.8,70,40,3.44
ws,sagone,-13.65,-172.58333330000002,S,35.6,80,0,6.91
za,kuruman,-27.452402000000003,23.432456,S,68,94,100,18.21
za,stanger,-29.328164,31.289537,S,80.6,69,0,14.97
za,stutterheim,-32.57076,27.423961,S,75.2,69,0,4.61
za,vredendal,-31.668328999999996,18.501192,S,66.88,74,93,1.88
zm,kabompo,-13.6,24.2,S,67.68,90,100,6.08
zm,mungwi,-10.166666699999999,31.383333299999997,S,61.92,96,100,4.92
